player_id,player_name,player_position,team_id
237,Goretzka                                          ,Midfielder     ,7
238,Zapata                                            ,Forward        ,25
239,Coquelin                                          ,Midfielder     ,3
240,Ocampos                                           ,Midfielder     ,21
241,Lauper                                            ,Midfielder     ,28
242,Grealish                                          ,Midfielder     ,4
243,Claudinho                                         ,Midfielder     ,23
244,Otávio                                            ,Midfielder     ,26
245,Feddal                                            ,Defender       ,14
246,Palomino                                          ,Defender       ,25
247,T. Hernández                                      ,Defender       ,31
248,D.Danilo                                          ,Defender       ,15
249,Mykolenko                                         ,Defender       ,20
250,Syrota                                            ,Defender       ,20
251,Koundé                                            ,Defender       ,21
252,Savić                                             ,Defender       ,6
253,Akanji                                            ,Defender       ,24
254,L. Nielsen                                        ,Defender       ,30
255,Marlon                                            ,Defender       ,22
256,Mbemba                                            ,Defender       ,26
257,Casteels                                          ,Goalkeeper     ,19
258,Ersin Destanoğlu                                  ,Goalkeeper     ,32
259,Donnarumma                                        ,Goalkeeper     ,13
260,Gulácsi                                           ,Goalkeeper     ,29
261,Bushchan                                          ,Goalkeeper     ,20
262,Athanasiadis                                      ,Goalkeeper     ,18
263,Musiala                                           ,Midfielder     ,7
264,Brorsson                                          ,Defender       ,30
265,Ziyech                                            ,Midfielder     ,8
266,Saelemaekers                                      ,Midfielder     ,31
267,Douglas Santos                                    ,Defender       ,23
268,Chistiakov                                        ,Defender       ,23
269,Souza                                             ,Midfielder     ,32
270,Berget                                            ,Midfielder     ,30
271,Onguéné                                           ,Defender       ,11
272,Buyalskiy                                         ,Midfielder     ,20
273,Xeka                                              ,Midfielder     ,9
274,Mæhle                                             ,Defender       ,25
275,Garcia                                            ,Defender       ,28
276,Malcom                                            ,Forward        ,23
277,Fred                                              ,Midfielder     ,16
278,Angeliño                                          ,Defender       ,29
279,Pedraza                                           ,Midfielder     ,3
280,Pino                                              ,Forward        ,3
281,Verratti                                          ,Midfielder     ,13
282,Guilavogui                                        ,Midfielder     ,19
283,Kanté                                             ,Midfielder     ,8
284,Kovačić                                           ,Midfielder     ,8
285,Lindelöf                                          ,Defender       ,16
286,Hermoso                                           ,Defender       ,6
287,C. Martins Pereira                                ,Midfielder     ,28
288,Hakan Çalhanoğlu                                  ,Midfielder     ,10
289,Wan-Bissaka                                       ,Defender       ,16
290,Tomori                                            ,Defender       ,31
291,Botman                                            ,Defender       ,9
292,Rits                                              ,Midfielder     ,17
293,Baku                                              ,Midfielder     ,19
294,Ahmedhodžić                                       ,Defender       ,30
295,André Silva                                       ,Forward        ,29
296,Vidal                                             ,Midfielder     ,10
297,Balanta                                           ,Midfielder     ,17
298,Renato Sanches                                    ,Midfielder     ,9
299,Zappacosta                                        ,Defender       ,25
300,Laimer                                            ,Midfielder     ,29
301,Kolovos                                           ,Midfielder     ,18
302,Rosier                                            ,Defender       ,32
303,A.Correa                                          ,Forward        ,6
304,Gueye                                             ,Midfielder     ,13
305,McTominay                                         ,Midfielder     ,16
306,Gavi                                              ,Midfielder     ,27
307,Weghorst                                          ,Forward        ,19
308,Shaw                                              ,Defender       ,16
309,Brandt                                            ,Midfielder     ,24
310,Sancho                                            ,Midfielder     ,16
311,Piqué                                             ,Defender       ,27
312,Malen                                             ,Forward        ,24
313,Romagnoli                                         ,Defender       ,31
314,Gnabry                                            ,Forward        ,7
315,Zaidu                                             ,Defender       ,26
316,McKennie                                          ,Midfielder     ,15
317,Hefti                                             ,Defender       ,28
318,Forsberg                                          ,Forward        ,29
319,Batshuayi                                         ,Forward        ,32
320,Bentancur                                         ,Midfielder     ,15
321,Ricardo Esgaio                                    ,Defender       ,14
322,Acuña                                             ,Defender       ,21
323,Lemar                                             ,Midfielder     ,6
324,Bennacer                                          ,Midfielder     ,31
325,De Pena                                           ,Midfielder     ,20
326,Jordi Alba                                        ,Defender       ,27
327,Tetê                                              ,Forward        ,22
328,Demiral                                           ,Defender       ,25
329,Gonçalo Ramos                                     ,Forward        ,5
330,Luís Neto                                         ,Defender       ,14
331,Pulišić                                           ,Midfielder     ,8
332,Ronald Araújo                                     ,Defender       ,27
333,Kędziora                                          ,Defender       ,20
334,Danilo                                            ,Midfielder     ,13
335,Roussillon                                        ,Defender       ,19
336,Tolói                                             ,Defender       ,25
337,Matviyenko                                        ,Defender       ,22
338,Kritsyuk                                          ,Goalkeeper     ,23
339,Loftus-Cheek                                      ,Forward        ,8
340,Hummels                                           ,Defender       ,24
341,Castañeda                                         ,Midfielder     ,18
342,Klostermann                                       ,Defender       ,29
343,Birmančević                                       ,Midfielder     ,30
344,Ismaily                                           ,Defender       ,22
345,Larin                                             ,Forward        ,32
346,Varane                                            ,Defender       ,16
347,Jesus                                             ,Forward        ,4
348,Brahim Díaz                                       ,Midfielder     ,31
349,João Mário                                        ,Forward        ,26
350,D.Fernando                                        ,Midfielder     ,22
351,Pepe                                              ,Defender       ,26
352,Fernandinho                                       ,Midfielder     ,4
353,Luis Suárez                                       ,Forward        ,6
354,Pogba                                             ,Midfielder     ,16
355,Camara                                            ,Defender       ,28
356,Okafor                                            ,Midfielder     ,11
357,Ghezzal                                           ,Midfielder     ,32
358,Lenglet                                           ,Defender       ,27
359,Taarabt                                           ,Midfielder     ,5
360,Pedrinho                                          ,Midfielder     ,22
361,Siebatcheu                                        ,Forward        ,28
362,Vranckx                                           ,Midfielder     ,19
363,Chiesa                                            ,Forward        ,15
364,Gvardiol                                          ,Defender       ,29
365,Tonali                                            ,Midfielder     ,31
366,Jesús Navas                                       ,Defender       ,21
367,Sobol                                             ,Defender       ,17
368,Brooks                                            ,Defender       ,19
369,Trigueros                                         ,Midfielder     ,3
370,Pedro Gonçalves                                   ,Midfielder     ,14
371,Mbabu                                             ,Defender       ,19
372,Solet                                             ,Defender       ,11
373,Christiansen                                      ,Midfielder     ,30
374,Jordán                                            ,Midfielder     ,21
375,D.Herrera                                         ,Midfielder     ,13
376,Garmash                                           ,Midfielder     ,20
377,Aké                                               ,Defender       ,4
378,L. Nmecha                                         ,Forward        ,19
379,Solomon                                           ,Midfielder     ,22
380,G.Gómez                                           ,Forward        ,21
381,Kessié                                            ,Midfielder     ,31
382,Lukaku                                            ,Forward        ,8
383,Grujić                                            ,Midfielder     ,26
384,Paredes                                           ,Midfielder     ,13
385,Calabria                                          ,Defender       ,31
386,Orbán                                             ,Defender       ,29
387,Lovren                                            ,Defender       ,23
388,Dahlin                                            ,Goalkeeper     ,30
389,Evanilson                                         ,Forward        ,26
390,Welinton                                          ,Defender       ,32
391,Bruno                                             ,Midfielder     ,18
392,Moreno                                            ,Defender       ,3
393,Montero                                           ,Defender       ,32
394,Vrsaljko                                          ,Defender       ,6
395,Greenwood                                         ,Forward        ,16
396,Azmoun                                            ,Forward        ,23
397,Malinovskyi                                       ,Midfielder     ,25
398,Sérgio Oliveira                                   ,Midfielder     ,26
399,Lol.Karavaev                                      ,Defender       ,23
400,Sowah                                             ,Forward        ,17
401,Ikoné                                             ,Midfielder     ,9
402,Simakan                                           ,Defender       ,29
403,Lukebakio                                         ,Forward        ,19
404,Rafael Leão                                       ,Forward        ,31
405,Sutormin                                          ,Midfielder     ,23
